收集器,开始时间,结束时间,填写用时,IP,来源,1、请根据两个用户的点击顺序，选择哪个用户更纠结：,2、请根据两个用户的点击顺序，选择哪个用户更纠结：,3、请根据两个用户的点击顺序，选择哪个用户更纠结：,4、请根据两个用户的点击顺序，选择哪个用户更纠结：,5、请根据两个用户的点击顺序，选择哪个用户更纠结：,6、请根据两个用户的点击顺序，选择哪个用户更纠结：,7、请根据两个用户的点击顺序，选择哪个用户更纠结：,8、请根据两个用户的点击顺序，选择哪个用户更纠结：,9、请根据两个用户的点击顺序，选择哪个用户更纠结：,10、请根据两个用户的点击顺序，选择哪个用户更纠结：
默认收集器,2015/2/8 18:14,2015/2/8 18:15,51 秒,183.33.187.113/32,bbs.ustc.edu.cn,1,1,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 18:13,2015/2/8 18:17,4 分钟 32 秒,167.220.232.199/32,bbs.ustc.edu.cn,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 17:55,2015/2/8 17:58,3 分钟 18 秒,113.47.232.183/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 17:43,2015/2/8 17:47,3 分钟 50 秒,123.150.208.143/32,,0,0,1,0,1,1,1,0,0,1
默认收集器,2015/2/8 16:22,2015/2/8 16:23,58 秒,220.178.102.202/32,,1,1,1,1,1,1,1,1,1,1
默认收集器,2015/2/8 16:12,2015/2/8 16:13,41 秒,101.226.68.141/32,,0,0,0,1,0,0,1,1,1,0
默认收集器,2015/2/8 16:09,2015/2/8 16:11,2 分钟 5 秒,222.195.92.250/32,,0,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 15:37,2015/2/8 15:39,2 分钟 11 秒,114.242.249.211/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 15:26,2015/2/8 15:29,2 分钟 50 秒,96.232.193.91/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 15:06,2015/2/8 15:09,2 分钟 38 秒,58.58.26.198/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 14:48,2015/2/8 15:03,14 分钟 9 秒,222.195.92.128/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 14:36,2015/2/8 14:41,4 分钟 23 秒,220.178.102.202/32,,0,0,1,0,1,1,1,0,0,1
默认收集器,2015/2/8 14:36,2015/2/8 15:09,33 分钟 27 秒,223.104.18.98/32,,1,0,1,1,0,0,1,1,1,1
默认收集器,2015/2/8 13:59,2015/2/8 14:03,4 分钟 7 秒,125.33.63.137/32,,1,0,1,0,1,1,1,1,0,1
默认收集器,2015/2/8 13:58,2015/2/8 13:59,52 秒,218.104.69.114/32,bbs.ustc.edu.cn,1,1,1,1,0,0,0,0,0,1
默认收集器,2015/2/8 13:52,2015/2/8 13:57,4 分钟 53 秒,70.162.166.42/32,,1,1,1,0,1,1,1,1,0,0
